itemid,uom,meq_multiplier
30018,ml,0.154
30026,mEq,1
30021,ml,0.109
30032,ml,
30015,ml,0.077
30196,ml,
30296,mEq,1
30297,mEq,1
30020,ml,0.077
30096,ml,
30060,ml,0.154
30197,ml,
30199,ml,
30198,ml,
30321,ml,0.077
30325,ml,
30194,ml,
30313,ml,
30301,ml,
30191,ml,
30193,ml,
30061,ml,0.109
30190,ml,0.154
30143,ml,0.513
30192,ml,
30323,ml,
30160,ml,0.154
30008,ml,0.154
30314,ml,
30186,ml,0.077
30203,ml,
30211,ml,0.077
30353,ml,0.077
30201,ml,
30159,ml,0.109
30326,ml,
30067,mEq,1
30185,ml,0.154
30352,ml,0.154
30014,ml,0.034
30202,ml,
30204,ml,
30205,ml,
30022,mg,0.03
30210,ml,0.154
43135,ml,0.154
40850,ml,0.154
30176,ml,0.042
30161,ml,0.513
30381,ml,0.154
30315,ml,0.042
44102,ml,0.098
30195,ml,0.098
44737,ml,0.154
42742,ml,0.117
43063,ml,0.154
45930,ml,
46496,ml,0.1
46708,ml,0.154
42484,ml,0.154
45137,ml,0.154
46546,ml,0.077
42698,ml,0.194
225158,ml,0.154
225166,mEq,1
225828,ml,0.109
227522,ml,0.1
227536,mEq,1
225823,ml,0.077
225159,ml,0.077
220864,ml,0.154
225916,ml,
225825,ml,0.154
225917,ml,
225161,ml,0.513
225827,ml,0.109
225941,ml,0.039
225920,ml,
225167,mEq,1
